hand_value,nb_bouts,taking,taking_bid_order,number_of_points_achieved,nb_bouts_achieved,reward
19.0,0,0,0,14.0,0,-2
17.0,0,0,0,14.0,1,-2
19.0,1,0,0,5.0,0,-2
29.0,1,1,2,49.0,2,6
16.0,0,0,0,15.0,0,4
24.0,1,0,0,13.0,1,4
29.0,0,0,0,35.0,1,4
17.0,2,1,2,24.0,1,-12
30.0,1,0,0,26.0,1,4
24.0,0,0,0,24.0,0,4
15.0,1,0,0,4,1,4
15.0,0,1,2,28.0,0,-12
13.0,0,1,1,22.0,2,-6
24.0,2,0,0,21.0,1,2
18.0,0,0,0,20.0,1,2
25.0,0,0,0,25.0,0,2
24.0,1,1,2,33.0,1,-9
23.0,1,0,0,23.0,1,3
13.0,0,0,0,10.0,0,3
24.0,1,0,0,26.0,1,3
19.0,1,0,0,12.0,0,-2
30.0,0,0,0,22.0,0,-2
13.0,0,0,0,16.0,1,-2
25.0,2,1,2,39.0,2,6
27.0,1,0,0,15.0,1,4
28.0,1,0,0,36.0,0,4
15.0,1,0,0,24.0,3,4
18.0,0,1,2,21.0,2,-12
30.0,0,0,0,29.0,0,-1
23.0,1,1,1,38.0,2,3
10.0,0,0,0,0,0,-1
21.0,0,0,0,21.0,1,-1
19.0,1,1,2,31.0,3,6
24.0,1,0,0,33.0,1,-2
15.0,0,0,0,20.0,0,-2
21.0,0,0,1,0,0,-2
16.0,0,0,0,14.0,0,-3
27.0,0,0,0,31.0,0,-3
22.0,0,0,0,0,0,-3
15.0,1,1,2,47.0,3,9
20.0,1,0,0,20.0,1,3
18.0,0,1,2,22.0,2,-9
14.0,1,0,0,22.0,1,3
31.0,1,0,1,27.0,0,3
21.0,1,1,2,59.0,3,12
25.0,0,0,0,11.0,0,-4
18.0,1,0,0,10.0,1,-4
18.0,1,0,0,16.0,1,-4
31.0,1,0,1,44.0,2,6
24.0,2,0,0,28.0,1,6
16.0,0,1,2,10.0,0,-18
13.0,0,0,0,2.0,0,6
17.0,1,0,0,11.0,1,4
25.0,1,0,0,26.0,0,4
18.0,0,0,0,20.0,0,4
24.0,1,1,2,18.0,2,-12
21.0,0,0,0,28.0,0,3
23.0,1,0,0,18.0,1,3
23.0,0,0,0,19.0,0,3
13.0,0,1,1,28.0,1,-9
20.0,0,1,2,51.0,3,9
16.0,0,0,0,6.0,1,-3
27.0,1,0,0,27.0,0,-3
21.0,0,0,0,17.0,1,-3
16.0,1,1,2,42.0,3,6
26.0,1,0,0,15.0,0,-2
17.0,0,0,0,14.0,1,-2
25.0,1,0,1,23.0,1,-2
9.0,0,0,0,7.0,0,-2
31.0,2,1,2,36.0,3,6
28.0,0,0,0,25.0,0,-2
16.0,0,0,0,11.0,0,-2
22.0,1,0,0,25.0,2,5
23.0,1,0,0,29.0,1,5
18.0,1,0,0,14.0,0,5
22.0,0,1,2,15.0,1,-15
22.0,0,0,0,16.0,0,4
20.0,0,0,0,26.0,1,4
19.0,2,0,0,17.0,1,4
25.0,1,1,2,22.0,1,-12
15.0,0,1,2,25.0,2,-9
30.0,2,0,0,22.0,1,3
16.0,0,0,0,19.0,1,3
27.0,1,0,1,29.0,1,3
17.0,1,1,2,41.0,2,6
22.0,1,0,0,13.0,1,-2
26.0,0,0,0,27.0,0,-2
18.0,0,0,1,10.0,0,-2
26.0,0,0,0,9.0,0,4
21.0,1,0,0,22.0,1,4
24.0,1,0,0,28.0,1,4
15.0,1,1,2,27.0,0,-12
17.0,1,1,1,35.0,4,-3
25.0,1,0,0,28.0,1,1
26.0,1,0,0,10.0,0,1
20.0,0,0,0,21.0,0,1
22.0,0,0,0,24.0,0,5
29.0,1,0,0,43.0,2,5
21.0,2,0,0,8.0,1,5
16.0,0,1,2,21.0,1,-15
21.0,1,1,2,35.0,2,-6
19.0,1,0,0,18.0,2,2
22.0,0,0,0,2.0,0,2
23.0,1,0,1,32.0,0,2
16.0,1,0,0,10.0,0,3
17.0,0,1,1,33.0,0,-9
20.0,0,0,0,16.0,1,3
26.0,1,0,0,15.0,1,3
25.0,1,0,0,24.0,1,-2
24.0,2,1,2,40.0,2,6
24.0,0,0,0,18.0,0,-2
13.0,0,0,1,9.0,0,-2
29.0,1,0,0,20.0,1,-2
12.0,0,0,0,8.0,1,-2
20.0,2,0,0,22.0,1,-2
22.0,0,1,2,36.0,3,6
20.0,0,0,0,14.0,0,5
24.0,0,0,0,16.0,0,5
20.0,1,1,1,12.0,0,-15
16.0,1,0,0,33.0,1,5
22.0,1,0,0,20.0,0,2
26.0,1,0,0,28.0,1,2
13.0,0,0,0,20.0,0,2
21.0,1,1,2,33.0,4,-6
28.0,2,0,1,27.0,2,4
18.0,0,0,0,19.0,0,4
15.0,0,1,2,31.0,1,-12
24.0,1,0,0,12.0,0,4
21.0,0,0,0,13.0,0,4
25.0,1,0,0,35.0,1,4
13.0,1,0,0,15.0,1,4
19.0,0,1,2,20.0,2,-12
11.0,0,1,2,46.0,5,-9
30.0,0,0,0,28.0,0,3
34.0,3,0,0,16.0,1,3
13.0,0,0,0,12.0,0,3
28.0,1,0,0,23.0,2,-3
23.0,1,0,0,16.0,0,-3
