game_id,hand_value,nb_bouts,nb_bouts_dog,taking,taking_bid_order,number_of_points_achieved,nb_bouts_achieved,reward
0,20.0,1,0,1,1,15.0,1,-12
0,29.0,2,0,0,0,29.0,2,4
0,14.0,0,0,0,0,2.0,0,4
0,25.0,0,0,0,0,39.0,0,4
1,25.0,1,0,0,0,14.0,1,-3
1,18.0,0,0,0,0,5.0,0,-3
1,19.0,1,0,0,0,2.0,0,-3
1,23.0,1,0,1,1,62.0,2,9
2,15.0,1,0,0,0,16.0,0,1
2,24.0,1,0,0,0,34.0,1,1
2,19.0,0,0,0,0,2.0,0,1
2,27.0,1,0,1,1,33.0,2,-3
3,17.0,0,0,0,0,13.0,0,2
3,19.0,1,0,1,1,38.0,1,-6
3,26.0,1,0,0,0,11.0,1,2
3,26.0,1,0,0,0,24.0,1,2
4,18.0,0,0,0,0,22.0,1,3
4,17.0,0,0,0,0,10.0,0,3
4,30.0,1,0,0,0,25.0,1,3
4,19.0,2,0,1,1,31.0,1,-9
5,23.0,0,0,0,0,3.0,0,4
5,16.0,1,0,1,1,20.0,1,-12
5,26.0,1,0,0,0,39.0,2,4
5,20.0,1,0,0,0,26.0,0,4
6,24.0,1,0,0,0,14.0,1,4
6,18.0,1,0,1,1,21.0,0,-12
6,22.0,0,0,0,0,24.0,0,4
6,22.0,1,0,0,0,28.0,2,4
7,31.0,0,1,0,0,20.0,0,6
7,16.0,0,1,0,0,30.0,0,6
7,14.0,0,1,1,1,3.0,0,-18
7,23.0,2,1,0,0,35.0,3,6
8,19.0,0,1,0,0,15.0,0,2
8,22.0,1,1,1,1,23.0,2,-6
8,20.0,0,1,0,0,32.0,0,2
8,17.0,1,1,0,0,14.0,1,2
9,18.0,0,0,0,0,18.0,1,-1
9,22.0,1,0,0,0,9.0,0,-1
9,20.0,2,0,1,1,49.0,2,3
9,24.0,0,0,0,0,12.0,0,-1
10,21.0,2,0,0,0,25.0,2,4
10,17.0,0,0,0,0,14.0,0,4
10,19.0,0,0,1,1,20.0,0,-12
10,19.0,1,0,0,0,23.0,1,4
11,19.0,1,0,0,0,34.0,1,4
11,23.0,1,0,1,1,18.0,0,-12
11,21.0,1,0,0,0,25.0,2,4
11,25.0,0,0,0,0,4.0,0,4
12,18.0,1,0,0,0,8.0,0,4
12,17.0,0,0,0,0,17.0,0,4
12,19.0,1,0,1,1,17.0,1,-12
12,28.0,1,0,0,0,40.0,2,4
13,34.0,2,0,0,0,26.0,2,5
13,17.0,0,0,1,1,11.0,0,-15
13,12.0,0,0,0,0,5.0,0,5
13,21.0,1,0,0,0,45.0,1,5
14,28.0,1,0,0,0,38.0,2,4
14,21.0,1,0,0,0,15.0,1,4
14,21.0,0,0,0,0,14.0,0,4
14,18.0,1,0,1,1,21.0,0,-12
15,33.0,2,1,0,0,39.0,3,3
15,16.0,0,1,1,1,29.0,0,-9
15,17.0,0,1,0,0,18.0,0,3
15,16.0,0,1,0,0,0,0,3
16,25.0,1,0,0,0,4.0,0,3
16,18.0,0,0,1,1,32.0,0,-9
16,18.0,1,0,0,0,25.0,1,3
16,23.0,1,0,0,0,25.0,2,3
17,17.0,0,0,0,0,12.0,0,3
17,26.0,2,0,0,0,34.0,3,3
17,25.0,0,0,0,0,14.0,0,3
17,19.0,1,0,1,1,28.0,0,-9
18,22.0,0,0,0,0,7.0,0,-1
18,18.0,2,0,0,0,17.0,1,-1
18,23.0,0,0,1,1,47.0,1,3
18,21.0,1,0,0,0,12.0,1,-1
19,18.0,0,1,0,0,7.0,0,-1
19,23.0,2,1,1,1,49.0,2,3
19,18.0,0,1,0,0,31.0,1,-1
19,24.0,0,1,0,0,0,0,-1
20,19.0,1,0,0,0,24.0,1,3
20,21.0,0,0,1,1,26.0,1,-9
20,28.0,2,0,0,0,15.0,1,3
20,20.0,0,0,0,0,20.0,0,3
21,20.0,1,0,0,0,23.0,2,5
21,22.0,1,0,1,1,12.0,0,-15
21,24.0,1,0,0,0,30.0,1,5
21,19.0,0,0,0,0,18.0,0,5
22,21.0,0,0,0,0,14.0,0,2
22,19.0,1,0,1,1,35.0,1,-6
22,24.0,1,0,0,0,35.0,2,2
22,20.0,1,0,0,0,2.0,0,2
23,17.0,1,0,0,0,2.0,0,2
23,24.0,0,0,0,0,35.0,0,2
23,31.0,1,0,1,1,37.0,1,-6
23,16.0,1,0,0,0,12.0,2,2
24,18.0,1,0,0,0,14.0,0,2
24,16.0,0,0,0,0,11.0,1,2
24,23.0,1,0,0,0,19.0,1,2
24,29.0,1,0,1,1,39.0,1,-6
25,25.0,2,0,0,0,20.0,2,3
25,20.0,0,0,1,1,33.0,0,-9
25,23.0,0,0,0,0,26.0,1,3
25,19.0,1,0,0,0,7.0,0,3
26,25.0,2,0,1,1,36.0,2,-4
26,18.0,0,0,0,0,33.0,0,0
26,19.0,0,0,0,0,13.0,0,0
26,24.0,1,0,0,0,4,1,0
27,24.0,0,1,0,0,11.0,0,3
27,29.0,1,1,0,0,26.0,1,3
27,12.0,0,1,1,1,28.0,1,-9
27,15.0,1,1,0,0,20.0,1,3
28,22.0,2,0,0,0,28.0,1,2
28,25.0,0,0,1,1,36.0,1,-6
28,22.0,1,0,0,0,16.0,1,2
28,12.0,0,0,0,0,6.0,0,2
29,24.0,1,0,0,0,20.0,1,-1
29,27.0,2,0,1,1,47.0,2,3
29,24.0,0,0,0,0,15.0,0,-1
29,13.0,0,0,0,0,2.0,0,-1
30,17.0,0,0,0,0,20.0,1,4
30,21.0,2,0,0,0,20.0,1,4
30,30.0,1,0,0,0,22.0,1,4
30,20.0,0,0,1,1,24.0,0,-12
31,18.0,0,0,0,0,19.0,0,3
31,26.0,1,0,1,1,23.0,1,-9
31,15.0,0,0,0,0,20.0,0,3
31,25.0,2,0,0,0,24.0,2,3
32,24.0,1,0,0,0,14.0,2,1
32,24.0,1,0,1,1,42.0,1,-3
32,20.0,1,0,0,0,8.0,0,1
32,16.0,0,0,0,0,21.0,0,1
33,19.0,0,0,0,0,0,0,2
33,17.0,1,0,0,0,27.0,2,2
33,21.0,1,0,0,0,25.0,0,2
33,31.0,1,0,1,1,34.0,1,-6
34,26.0,1,0,0,0,30.0,1,4
34,25.0,1,0,1,1,21.0,1,-12
34,18.0,1,0,0,0,25.0,1,4
34,12.0,0,0,0,0,7.0,0,4
35,19.0,0,0,0,0,0,0,-1
