timestep,reward
80,3.0
2086,-1.0
4099,1.28
6104,-0.12
8117,1.92
10122,1.24
12129,1.56
14142,0.36
16147,-2.04
18144,1.04
20147,-0.32
22160,1.8
24175,-3.6
26197,2.4
28203,1.08
30201,2.12
32214,0.08
34219,1.68
36226,3.72
38226,2.4
40237,2.4
42252,2.96
44258,2.12
46271,2.8
48273,2.4
50283,1.8
52296,2.32
54320,3.04
56330,2.32
58334,2.92
60348,3.12
62353,3.44
64372,3.44
66383,2.2
68389,3.88
70396,2.04
72395,2.68
74396,2.2
76419,3.04
78434,1.16
80437,3.36
82442,2.72
84445,2.68
86450,2.32
88460,2.52
90479,2.96
92483,2.92
94500,2.6
96511,2.56
98525,2.28
100536,3.88
102553,1.68
104550,2.72
106553,3.36
108566,2.0
110582,2.84
112586,3.0
114599,3.24
116609,2.64
118620,2.4
120628,3.44
122635,1.72
124645,2.4
126659,1.68
128674,3.6
130679,3.68
132684,2.68
134695,2.68
136694,3.24
138696,2.44
140700,2.92
142699,2.84
144707,2.24
146724,3.08
148734,3.92
150747,2.6
152751,2.84
154761,3.48
156780,2.12
158792,3.56
160801,3.12
162823,3.24
164838,2.52
166842,3.76
168851,2.12
170851,2.92
172851,3.16
174859,2.76
176864,3.6
