timestep,reward
79,1.33,None
8125,2.88,None
16162,3.38,None
24176,2.6,None
32236,2.1,None
40322,2.77,None
48336,2.8,None
56369,2.42,None
64461,2.56,None
72538,3.06,None
80632,1.89,None
88733,2.03,None
96841,2.17,None
104941,2.3,None
113046,1.73,None
121169,1.67,None
129272,2.23,None
137378,2.11,None
145491,2.33,None
153611,2.8,None
161732,2.35,None
169858,2.99,None
178004,3.3,None
186135,2.23,None
194242,2.07,None
202335,2.81,None
210458,2.54,None
218572,2.06,None
226688,2.62,None
234817,2.3,None
