timestep,reward
80,4.0
2084,2.44
4092,3.36
6101,2.64
8104,2.68
10109,2.48
12118,3.16
14123,3.36
16138,3.44
18153,2.56
20156,3.08
22174,3.32
24180,3.6
26184,3.16
28193,3.84
30208,3.8
32207,2.96
34219,2.96
36232,2.84
38229,2.6
40244,3.44
42255,3.24
44260,3.0
46261,3.28
48265,3.24
50264,3.48
52261,3.12
54259,1.72
56255,3.4
58257,2.12
60263,2.52
62257,3.84
64260,3.48
66263,3.68
68271,2.56
70274,3.8
72266,4.04
74277,2.36
76271,3.28
78282,1.76
80285,3.4
82292,2.84
84286,1.48
86293,2.44
88298,2.4
90291,2.32
92295,3.04
94303,3.44
96300,4.04
98307,3.68
100315,2.76
102321,3.0
104343,3.6
106351,2.64
108362,4.08
110357,4.6
112354,3.48
114349,3.48
116349,3.28
118353,2.84
