timestep,reward
80,0.93
4089,0.66
8106,-0.07
12124,0.81
16140,0.73
20158,0.59
24177,1.12
28182,0.41
32186,1.44
36212,-0.49
40213,-0.08
44220,1.24
48226,0.55
52220,0.72
56230,-0.06
60246,0.78
64257,0.66
68266,0.43
72274,0.45
76290,-0.37
80301,2.19
84313,0.58
88323,1.65
92334,0.24
96335,0.19
100335,0.12
104332,1.52
108347,0.35
112349,-0.46
116351,-0.1
120352,1.4
124359,0.86
128376,-0.55
132387,-0.19
136380,0.62
140393,0.3
144406,0.5
148417,0.5
152427,-0.21
156435,-0.39
160442,0.33
164446,1.55
168442,0.95
172459,0.04
176479,-0.27
180494,0.97
184512,-0.26
188522,-0.52
192537,0.12
196560,0.01
200576,1.04
204597,0.07
208608,0.99
212612,-0.72
216613,0.65
220612,0.53
224612,-0.3
228616,0.39
232634,0.49
236632,0.27
240640,2.27
244649,1.15
248649,0.89
252667,-0.25
256677,-0.17
260679,-0.41
264684,0.84
268689,-0.45
272698,-0.07
276704,1.34
280715,0.6
284736,-0.69
288748,-0.29
292769,0.13
296784,1.36
300796,-0.23
304802,0.73
308815,0.24
312822,0.98
316824,0.96
320840,0.93
324858,-0.79
328875,0.31
332882,-0.16
336882,1.58
340885,-0.05
344891,1.09
348903,1.2
352926,1.16
356932,0.59
360950,0.28
364961,2.47
368963,0.77
372989,0.4
377008,0.74
381030,0.64
385047,-0.24
389066,-0.13
393070,0.5
397084,0.31
401096,-0.52
405121,0.72
409141,0.59
413146,0.14
417144,-0.32
421152,0.18
425159,0.57
429163,-1.49
433171,-0.37
437200,-0.15
