timestep,reward
80,-0.3
16152,2.304
32275,-2.902
48383,-3.928
64438,-3.026
80443,-7.726
96467,-7.356
112477,-8.78
128488,-9.468
144441,-9.312
160422,-9.198
176369,-9.264
192317,-8.856
208285,-8.724
224289,-9.672
240309,-10.294
256345,-8.53
272391,-8.29
288449,-9.924
304506,-9.03
320543,-9.174
336606,-9.348
352655,-8.562
368687,-8.736
384750,-8.354
400791,-8.484
416835,-10.302
432885,-9.234
448956,-7.88
465031,-8.952
481090,-8.556
497142,-8.648
513189,-8.976
529255,-9.282
545314,-9.018
561383,-9.2
577424,-7.664
593473,-8.788
609550,-7.824
625620,-8.518
641673,-7.272
657683,-1.244
673761,-0.712
689835,-0.526
705898,-5.578
