episode,reward
0,2.345
100,2.434
200,2.482
300,2.374
400,2.306
500,2.553
600,2.281
700,2.517
800,2.184
900,2.429
1000,2.347
1100,2.459
1200,2.256
1300,2.156
1400,1.875
1500,2.488
1600,2.211
1700,1.87
1800,1.96
1900,2.637
2000,2.396
2100,2.341
2200,2.492
2300,2.389
2400,2.331
2500,2.626
2600,2.675
2700,2.2
2800,2.751
2900,2.548
3000,1.98
3100,1.599
3200,2.372
3300,2.438
3400,0.625
3500,2.682
3600,-0.522
3700,1.504
3800,1.258
3900,2.786
4000,1.477
4100,2.377
4200,1.871
4300,2.704
4400,2.361
4500,2.659
4600,1.909
4700,2.716
4800,2.635
4900,2.425
5000,2.708
5100,2.324
5200,2.596
5300,2.545
5400,2.302
5500,2.184
5600,2.212
5700,2.15
5800,2.256
5900,1.911
6000,1.378
6100,2.243
6200,1.749
6300,1.67
6400,2.395
6500,1.574
6600,2.205
6700,1.01
6800,0.954
6900,1.327
7000,1.973
7100,1.911
7200,2.418
7300,0.999
7400,1.933
7500,0.563
7600,1.869
7700,2.264
7800,2.829
7900,2.351
8000,2.283
8100,0.069
8200,2.526
8300,1.091
8400,2.257
8500,2.336
8600,1.255
8700,2.604
8800,1.947
8900,1.753
9000,1.501
9100,2.452
9200,2.15
9300,2.608
9400,1.388
9500,2.461
9600,2.698
9700,1.807
9800,1.539
9900,2.382
10000,2.656
10100,2.607
10200,1.987
10300,2.486
10400,2.109
10500,2.652
10600,2.679
10700,1.266
10800,2.464
10900,0.925
11000,1.623
11100,2.476
11200,2.237
11300,1.947
11400,0.446
11500,2.547
11600,1.198
11700,1.068
11800,2.541
11900,0.766
12000,2.34
12100,2.463
12200,0.233
12300,0.216
12400,2.283
12500,0.154
12600,1.638
12700,0.796
12800,2.638
12900,1.604
13000,2.113
13100,1.835
13200,2.598
13300,1.746
13400,1.99
13500,2.466
13600,2.778
13700,2.732
13800,1.922
13900,2.405
14000,1.942
14100,2.894
14200,2.409
14300,1.074
14400,1.793
14500,0.998
14600,2.537
14700,2.41
14800,1.466
14900,1.637
15000,1.365
15100,1.386
15200,0.889
15300,1.734
15400,0.646
15500,2.355
15600,2.519
15700,1.446
15800,1.847
15900,2.254
16000,2.661
16100,2.616
16200,2.249
16300,2.256
16400,2.934
16500,2.305
16600,2.261
16700,1.119
16800,2.037
16900,0.851
17000,2.564
17100,2.768
17200,0.705
17300,2.342
17400,2.745
17500,2.727
17600,2.628
17700,2.465
17800,1.292
17900,2.58
18000,2.6
18100,0.773
18200,2.494
18300,2.692
18400,2.536
18500,1.861
18600,2.791
18700,2.604
18800,2.191
18900,0.959
19000,1.805
19100,0.986
19200,2.793
19300,1.092
19400,2.69
19500,1.65
19600,2.413
19700,1.624
19800,2.45
19900,0.889
20000,1.915
20100,2.48
20200,2.624
20300,2.58
20400,2.079
20500,2.467
20600,2.48
20700,1.026
20800,1.993
20900,2.517
21000,1.619
21100,2.618
21200,2.773
21300,2.696
21400,-0.429
21500,-1.748
21600,-1.176
21700,2.726
21800,-0.109
21900,1.985
22000,2.57
22100,0.439
22200,0.711
22300,2.413
22400,2.433
22500,2.633
22600,1.222
22700,2.348
22800,0.706
22900,2.565
23000,0.21
23100,1.944
23200,2.654
23300,1.24
23400,2.616
23500,2.125
23600,1.283
23700,1.433
23800,2.465
23900,2.161
24000,2.522
