episode,reward
0,1.813
100,1.749
200,1.485
300,1.733
400,1.2
500,1.54
600,1.799
700,1.281
800,1.646
900,1.405
1000,2.024
1100,1.829
1200,1.456
1300,1.764
1400,1.864
1500,2.136
1600,1.96
1700,1.986
1800,1.962
1900,1.725
2000,2.13
2100,1.874
2200,1.819
2300,1.693
2400,1.592
2500,2.174
2600,1.943
2700,1.67
2800,1.774
2900,1.663
3000,1.904
3100,1.797
3200,1.915
3300,1.52
3400,1.889
3500,1.589
3600,1.695
3700,1.664
3800,1.94
3900,1.308
4000,1.657
4100,1.716
4200,2.124
4300,1.235
4400,1.768
4500,1.445
4600,1.649
4700,1.325
4800,1.515
4900,1.574
5000,2.083
5100,1.285
5200,1.437
5300,1.691
5400,1.235
5500,1.638
5600,1.666
5700,2.134
5800,1.799
5900,1.786
6000,1.775
6100,1.511
6200,1.26
6300,1.458
6400,1.702
6500,1.638
6600,1.689
6700,1.849
6800,1.679
6900,1.707
7000,1.501
7100,1.51
7200,1.843
7300,1.894
7400,1.607
7500,1.881
7600,1.493
7700,1.498
7800,1.497
7900,1.785
8000,1.589
8100,1.58
8200,1.947
8300,1.905
8400,1.881
8500,2.109
8600,2.044
8700,1.604
8800,1.943
8900,1.645
9000,1.766
9100,2.179
9200,1.868
9300,1.841
9400,1.933
9500,1.425
9600,1.078
9700,1.615
9800,2.0
9900,1.04
10000,1.746
10100,2.423
10200,2.313
10300,2.334
10400,2.168
10500,2.174
10600,2.234
10700,1.469
10800,2.097
10900,1.817
11000,2.266
11100,1.679
11200,1.762
11300,1.688
11400,2.171
11500,1.74
11600,1.838
11700,1.88
11800,1.838
11900,1.808
12000,1.674
12100,1.569
12200,2.162
12300,2.216
12400,2.331
12500,2.003
12600,1.861
12700,2.368
12800,2.107
12900,2.257
13000,2.413
13100,1.816
13200,2.406
13300,2.304
13400,2.282
13500,1.476
13600,1.882
13700,2.182
13800,1.397
13900,1.858
14000,2.33
14100,2.478
14200,2.382
14300,2.37
14400,2.226
14500,2.089
14600,2.075
14700,2.363
14800,2.283
14900,1.74
15000,2.195
15100,2.42
15200,2.396
15300,2.052
15400,2.054
15500,2.268
15600,2.236
15700,2.221
15800,2.431
15900,2.162
16000,1.909
16100,1.294
16200,1.855
16300,2.235
16400,1.434
16500,2.289
16600,2.353
16700,2.283
16800,1.823
16900,2.255
17000,2.282
17100,1.983
17200,2.348
17300,2.269
17400,2.09
17500,2.26
17600,2.054
17700,2.141
17800,2.211
17900,2.409
18000,1.789
18100,2.219
18200,2.185
18300,2.188
18400,2.382
18500,2.268
18600,1.697
18700,2.361
18800,2.386
18900,2.397
19000,2.324
19100,2.314
19200,2.374
19300,2.299
19400,2.379
19500,2.475
19600,2.001
19700,2.37
19800,2.078
19900,2.255
20000,2.373
20100,2.249
20200,2.345
20300,2.38
20400,2.363
20500,2.342
20600,2.29
20700,2.303
20800,2.417
20900,2.213
21000,2.189
21100,2.29
21200,2.33
21300,2.36
21400,2.36
21500,2.354
21600,2.263
21700,2.4
21800,2.268
21900,2.266
22000,2.314
22100,2.299
22200,2.227
22300,1.992
22400,2.088
22500,2.341
22600,2.338
22700,1.85
22800,2.17
22900,2.008
23000,2.356
23100,2.32
23200,2.147
23300,1.935
23400,2.24
23500,2.131
23600,2.448
23700,2.307
23800,2.231
23900,2.279
24000,1.953
24100,2.362
