
########## Evaluation Against Random - Episode 0 ##########
Timestep: 79 Average reward against random is -0.736

########## Evaluation Against Random - Episode 1000 ##########
Timestep: 80154 Average reward against random is 0.095

########## Evaluation Against Random - Episode 2000 ##########
Timestep: 160363 Average reward against random is -0.246

########## Evaluation Against Random - Episode 3000 ##########
Timestep: 240530 Average reward against random is -0.52

########## Evaluation Against Random - Episode 4000 ##########
Timestep: 320642 Average reward against random is 0.984

########## Evaluation Against Random - Episode 5000 ##########
Timestep: 400761 Average reward against random is 1.172

########## Evaluation Against Random - Episode 6000 ##########
Timestep: 480847 Average reward against random is 1.711

########## Evaluation Against Random - Episode 7000 ##########
Timestep: 560869 Average reward against random is 1.712

########## Evaluation Against Random - Episode 8000 ##########
Timestep: 640858 Average reward against random is 1.78

########## Evaluation Against Random - Episode 9000 ##########
Timestep: 720940 Average reward against random is 2.386

########## Evaluation Against Random - Episode 10000 ##########
Timestep: 800998 Average reward against random is 2.456

########## Evaluation Against Random - Episode 11000 ##########
Timestep: 881139 Average reward against random is 2.505

########## Evaluation Against Random - Episode 12000 ##########
Timestep: 961189 Average reward against random is 2.388

########## Evaluation Against Random - Episode 13000 ##########
Timestep: 1041396 Average reward against random is 2.501

########## Evaluation Against Random - Episode 14000 ##########
Timestep: 1121594 Average reward against random is 2.38

########## Evaluation Against Random - Episode 15000 ##########
Timestep: 1201786 Average reward against random is 2.392

########## Evaluation Against Random - Episode 16000 ##########
Timestep: 1281920 Average reward against random is 2.405

########## Evaluation Against Random - Episode 17000 ##########
Timestep: 1362226 Average reward against random is 2.126

########## Evaluation Against Random - Episode 18000 ##########
Timestep: 1442494 Average reward against random is 2.583

########## Evaluation Against Random - Episode 19000 ##########
Timestep: 1522692 Average reward against random is 2.463

########## Evaluation Against Random - Episode 20000 ##########
Timestep: 1602883 Average reward against random is 2.469

########## Evaluation Against Random - Episode 21000 ##########
Timestep: 1683118 Average reward against random is 2.655

########## Evaluation Against Random - Episode 22000 ##########
Timestep: 1763316 Average reward against random is 2.605

########## Evaluation Against Random - Episode 23000 ##########
Timestep: 1843386 Average reward against random is 2.526

########## Evaluation Against Random - Episode 24000 ##########
Timestep: 1923501 Average reward against random is 2.401

########## Evaluation Against Random - Episode 25000 ##########
Timestep: 2003556 Average reward against random is 2.298

