episode,reward
0,0.0514
200,-0.1122
400,-0.1962
600,-0.0371
800,-0.1781
1000,-0.134
1200,0.0456
1400,-0.0519
1600,-0.0637
1800,0.0375
2000,-0.2916
2200,-0.0673
2400,-0.2938
2600,-0.1744
2800,-0.129
3000,-0.0328
3200,0.112
3400,0.3279
3600,-0.0886
3800,-0.0835
4000,0.0314
4200,-0.1805
4400,-0.2238
4600,0.1863
4800,0.1845
5000,0.0885
5200,-0.1658
5400,0.048
5600,0.0757
5800,0.1185
6000,-0.1337
6200,0.1163
6400,0.069
6600,0.116
6800,-0.1777
7000,-0.2304
7200,0.2974
7400,-0.2023
7600,-0.0428
7800,0.317
8000,-0.0597
8200,-0.0076
8400,0.2119
8600,0.0652
8800,0.0067
9000,0.1893
9200,-0.0415
9400,-0.1371
9600,-0.3183
9800,-0.1891
