episode,reward
0,1.623
500,0.888
1000,0.953
1500,1.827
2000,1.763
2500,1.692
3000,1.98
3500,2.138
4000,2.085
4500,0.905
5000,2.19
5500,0.387
6000,1.743
6500,1.104
7000,2.113
7500,0.081
8000,2.07
8500,2.254
9000,2.144
9500,2.316
10000,2.34
10500,2.182
11000,1.666
11500,0.361
12000,2.127
12500,2.194
13000,2.17
13500,1.878
14000,0.084
14500,1.589
15000,2.146
15500,2.133
16000,2.301
16500,2.347
17000,2.314
17500,2.434
18000,2.186
18500,2.372
19000,2.323
19500,2.42
20000,2.349
20500,0.275
21000,1.485
21500,1.851
22000,1.691
22500,2.276
23000,2.023
23500,-0.207
24000,2.273
24500,2.291
25000,1.784
25500,0.622
26000,2.169
26500,2.322
27000,2.178
27500,1.673
28000,1.884
28500,0.372
29000,1.567
29500,2.077
30000,0.19
30500,2.294
31000,-0.105
31500,0.616
32000,1.392
32500,2.405
33000,2.201
33500,1.215
34000,2.092
34500,0.41
35000,2.257
35500,2.18
36000,2.075
36500,2.143
37000,0.158
37500,2.276
38000,2.135
38500,2.326
39000,1.912
39500,2.172
40000,2.046
40500,1.91
41000,2.315
41500,2.126
42000,1.979
42500,2.001
43000,1.705
43500,2.044
44000,1.678
44500,1.197
45000,0.52
45500,0.74
46000,0.517
46500,0.781
47000,0.084
47500,0.357
48000,0.373
48500,-0.082
49000,0.105
49500,-0.065
50000,0.156
50500,0.465
51000,0.171
51500,0.214
52000,0.231
52500,-0.08
53000,-0.039
53500,0.315
54000,0.436
54500,0.196
55000,0.094
55500,-0.185
56000,0.029
56500,0.388
57000,0.181
57500,-0.27
58000,0.024
58500,-0.11
