timestep,reward
79,-0.25,None
8099,-0.79,None
16141,-0.96,None
24148,-1.61,None
32163,-1.06,None
40279,0.0,None
48486,-0.16,None
56650,0.54,None
64709,1.25,None
72756,0.86,None
80794,1.03,None
88847,0.12,None
96931,0.77,None
105009,0.25,None
113096,-1.0,None
121188,1.3,None
129329,0.26,None
137488,0.36,None
145636,-0.19,None
153702,-0.74,None
161765,-1.36,None
169863,1.01,None
178001,0.85,None
186157,1.06,None
194242,1.39,None
202377,0.71,None
210683,0.88,None
218894,0.17,None
227082,0.64,None
235304,0.5,None
243440,0.79,None
251595,1.34,None
259892,1.23,None
268143,0.79,None
276409,1.26,None
284576,-1.56,None
292729,-0.53,None
300990,1.07,None
309292,0.31,None
317782,0.24,None
326406,0.23,None
335074,1.32,None
343959,0.87,None
353003,1.07,None
361763,0.28,None
370298,0.29,None
378910,0.76,None
387421,1.78,None
395809,1.87,None
404368,0.89,None
413002,1.6,None
421363,-0.08,None
429567,1.83,None
438055,1.91,None
446562,1.35,None
454797,1.47,None
463100,1.27,None
471321,1.41,None
479650,-0.35,None
487906,0.45,None
496239,0.94,None
504655,1.16,None
513138,1.11,None
521434,1.15,None
529769,0.77,None
538050,0.55,None
546582,1.56,None
555320,2.09,None
564218,0.17,None
573121,1.04,None
581783,1.14,None
590317,1.78,None
