timestep,reward
81,0.139
80360,-1.988
160681,-0.037
241054,0.18
321305,-1.283
401481,-3.819
481351,-3.716
561186,-5.039
640993,-2.512
720827,-0.97
800641,-4.471
880599,-0.597
960756,0.228
1041038,1.457
1121245,-0.871
1201441,2.311
1281700,-2.666
1361930,1.882
1442191,-0.271
1522489,0.467
1602816,-3.98
1683237,2.734
1763663,0.843
1844034,-7.298
1924351,3.122
2004667,1.604
2084967,-7.902
2165275,2.925
2245590,-9.203
2325816,-1.356
2406106,2.74
2486356,2.172
2566638,2.319
2646945,2.267
2727240,0.022
2807576,3.416
2887994,1.101
2968448,-1.286
3048847,3.079
3129162,0.423
3209429,-2.889
3289813,-6.752
3370205,-7.755
3450582,3.246
3530913,-4.135
3611223,2.17
3691640,-2.684
3772025,-2.871
3852434,-0.447
3932751,0.081
4013089,-4.111
4093520,-2.713
4173863,0.962
4254272,3.079
4334638,-0.969
4414969,0.824
4495337,-0.074
4575709,-3.449
4656165,-3.161
4736581,3.279
4816984,1.036
4897404,-1.038
4977770,-2.169
5058208,0.28
5138682,-7.154
5219052,-6.428
5299510,-8.091
5379862,-2.598
5460246,-3.084
5540621,2.479
5620981,-5.285
5701409,-3.52
5781841,-1.215
5862318,-2.59
5942467,1.667
6022479,-3.581
6102781,-0.874
6182998,3.257
6263318,3.072
6343800,-2.763
6424283,-2.272
6504632,-1.678
6584999,-3.011
6665163,-5.459
6745134,-7.327
6825132,-6.626
6905089,-6.288
6984990,-4.377
7064841,-4.821
7144680,-4.906
7224566,-3.745
7304400,-6.063
7384213,-4.314
7464038,-5.247
7543840,-7.455
7623637,-7.446
7703528,-7.781
7783321,-9.599
7863252,-8.959
7943042,-9.0
