timestep,reward;Timestep;Reward
79,2.2;79;2.2
879,3.3;879;3.3
1682,2.2;1682;2.2
2490,-1.5;2490;-1.5
3291,2.8;3291;2.8
4094,1.8;4094;1.8
4896,-1.9;4896;-1.9
5695,5.4;5695;5.4
6503,1.2;6503;1.2
7297,2.6;7297;2.6
8099,2.2;8099;2.2
8902,-1.1;8902;-1.1
9698,0.1;9698;0.1
10507,1.3;10507;1.3
11311,0.1;11311;0.1
12116,2.2;12116;2.2
12918,4.1;12918;4.1
13722,1.9;13722;1.9
14529,0.8;14529;0.8
15332,-1.7;15332;-1.7
16136,-1.7;16136;-1.7
16942,2.1;16942;2.1
17746,-1.3;17746;-1.3
18554,1.3;18554;1.3
19368,-1.2;19368;-1.2
20202,-2.3;20202;-2.3
21025,1.9;21025;1.9
21839,0.7;21839;0.7
22662,0.7;22662;0.7
23471,2.0;23471;2
24287,3.9;24287;3.9
25111,2.7;25111;2.7
25930,4.2;25930;4.2
26757,1.4;26757;1.4
27571,1.6;27571;1.6
28397,2.2;28397;2.2
29210,1.6;29210;1.6
30019,1.6;30019;1.6
30840,2.8;30840;2.8
31654,4.4;31654;4.4
32472,4.3;32472;4.3
33283,2.4;33283;2.4
34100,3.9;34100;3.9
34935,1.9;34935;1.9
35744,2.4;35744;2.4
36563,2.8;36563;2.8
37383,2.9;37383;2.9
38236,2.5;38236;2.5
39041,2.1;39041;2.1
39860,1.4;39860;1.4
40677,2.4;40677;2.4
41499,3.6;41499;3.6
42303,2.5;42303;2.5
43114,2.8;43114;2.8
43951,1.1;43951;1.1
44773,3.1;44773;3.1
45592,2.5;45592;2.5
46419,4.1;46419;4.1
47225,0.0;47225;0
48033,1.7;48033;1.7
48857,4.1;48857;4.1
49664,1.6;49664;1.6
50459,0.9;50459;0.9
51265,0.7;51265;0.7
52069,2.7;52069;2.7
52887,2.2;52887;2.2
53704,3.7;53704;3.7
54512,1.5;54512;1.5
55342,1.9;55342;1.9
56175,3.4;56175;3.4
56986,-0.7;56986;-0.7
57792,3.5;57792;3.5
58609,2.9;58609;2.9
59423,2.9;59423;2.9
60241,1.4;60241;1.4
61085,2.4;61085;2.4
61897,2.3;61897;2.3
62707,0.7;62707;0.7
63533,-0.2;63533;-0.2
64330,3.0;64330;3
65142,4.1;65142;4.1
65958,-0.2;65958;-0.2
66780,3.4;66780;3.4
67578,0.5;67578;0.5
68376,0.2;68376;0.2
69185,3.2;69185;3.2
69989,2.2;69989;2.2
70803,3.6;70803;3.6
71607,2.4;71607;2.4
72412,3.5;72412;3.5
73238,2.3;73238;2.3
74045,3.5;74045;3.5
74860,2.0;74860;2
75681,3.3;75681;3.3
76489,-0.3;76489;-0.3
77304,1.2;77304;1.2
78110,-1.1;78110;-1.1
78916,2.7;78916;2.7
79721,1.9;79721;1.9
80519,1.5;80519;1.5
81333,-0.6;81333;-0.6
82145,2.0;82145;2
82950,-0.1;82950;-0.1
83770,2.0;83770;2
84588,-0.1;84588;-0.1
85402,2.6;85402;2.6
86205,2.1;86205;2.1
87019,4.5;87019;4.5
87837,2.1;87837;2.1
88637,2.5;88637;2.5
89445,3.4;89445;3.4
90243,3.7;90243;3.7
91053,1.6;91053;1.6
91855,3.6;91855;3.6
92676,2.9;92676;2.9
93475,3.1;93475;3.1
94293,2.9;94293;2.9
95106,0.9;95106;0.9
95929,-0.8;95929;-0.8
96755,1.1;96755;1.1
97584,2.8;97584;2.8
98408,3.6;98408;3.6
99219,-0.1;99219;-0.1
100032,2.5;100032;2.5
100849,2.3;100849;2.3
101649,2.4;101649;2.4
102447,2.4;102447;2.4
103253,2.6;103253;2.6
104071,3.3;104071;3.3
104885,2.6;104885;2.6
105685,1.6;105685;1.6
106487,2.9;106487;2.9
107305,0.2;107305;0.2
108126,1.7;108126;1.7
108960,2.0;108960;2
109783,3.9;109783;3.9
110599,1.6;110599;1.6
111429,3.3;111429;3.3
112244,0.1;112244;0.1
113096,2.7;113096;2.7
113933,0.1;113933;0.1
114750,0.1;114750;0.1
115562,3.1;115562;3.1
116417,1.9;116417;1.9
117226,0.9;117226;0.9
118039,-0.2;118039;-0.2
