
########## Evaluation Against Random - Episode 0 ##########
Timestep: 79 Average reward against random is 1.651

########## Evaluation Against Random - Episode 10000 ##########
Timestep: 800118 Average reward against random is 1.201

########## Evaluation Against Random - Episode 20000 ##########
Timestep: 1601232 Average reward against random is 1.425

########## Evaluation Against Random - Episode 30000 ##########
Timestep: 2404022 Average reward against random is 1.376

########## Evaluation Against Random - Episode 40000 ##########
Timestep: 3205838 Average reward against random is 1.074

########## Evaluation Against Random - Episode 50000 ##########
Timestep: 4003788 Average reward against random is 1.287

########## Evaluation Against Random - Episode 60000 ##########
Timestep: 4798245 Average reward against random is 1.203

########## Evaluation Against Random - Episode 70000 ##########
Timestep: 5592391 Average reward against random is 1.201

########## Evaluation Against Random - Episode 80000 ##########
Timestep: 6387362 Average reward against random is 1.147

########## Evaluation Against Random - Episode 90000 ##########
Timestep: 7180727 Average reward against random is 1.083
