timestep,reward
79,-0.87
40000,-1.301
79941,-0.183
120187,0.424
160528,1.105
200803,0.585
241158,1.288
281405,1.456
321581,1.408
361808,0.86
402140,1.604
442337,0.823
482309,-0.996
522210,-1.627
562023,-1.406
601893,-0.862
641924,1.12
681945,-0.272
722085,-0.293
762099,1.895
802349,1.492
842579,1.01
882719,2.234
922963,2.508
963252,2.421
1003616,2.134
1043819,1.689
1084086,2.187
1124322,2.245
1164628,2.135
1204825,2.115
1244960,1.38
1285127,2.289
1325358,1.613
1365817,2.112
1406100,1.71
1446516,1.622
1486724,1.868
1527024,2.292
1567205,2.006
1607271,0.755
1647380,1.894
1687425,1.911
1727558,1.864
1767747,2.1
1807785,0.476
1847812,1.458
1887900,0.976
1928024,1.866
1968271,1.686
2008476,2.091
2049055,2.021
2089582,0.843
2130056,1.108
2170445,1.193
2210749,1.113
2250853,1.923
2291005,1.654
2331114,1.424
2371179,1.639
2411250,1.944
2451363,2.186
2491390,2.152
2531495,2.083
2571518,1.706
2611533,1.568
2651540,1.576
2691594,2.094
2731744,1.568
2771834,1.007
2811874,2.004
2851879,1.57
2891944,1.647
2931977,0.934
2971934,-0.053
3011890,1.108
3051898,0.768
3091947,0.905
3132043,1.576
3172149,0.747
3212158,0.65
3252102,0.36
3292145,1.673
3332252,1.838
3372522,1.997
3412684,2.171
3452749,1.292
3492778,0.489
3532875,0.697
3572879,0.112
3612783,-0.914
3652754,0.351
3692709,0.358
3732675,0.46
3772674,1.376
3812692,1.468
3852646,0.973
3892566,0.383
3932443,-0.067
3972289,0.905
4012230,0.455
4052092,-0.823
4091984,-1.341
4131879,0.513
4171763,-0.903
4211617,0.304
4251532,0.573
4291432,1.417
4331425,1.749
4371409,2.17
4411444,1.998
4451472,1.768
4491494,1.538
4531515,1.318
4571551,-0.324
4611643,2.02
4651801,0.991
4691843,0.69
4731833,-0.925
4771677,-1.11
4811529,-1.645
4851281,-2.076
4891044,-1.296
4930857,-0.699
4970750,0.444
5010699,1.19
5050660,2.044
5090658,0.998
5130650,0.833
5170698,2.017
5210772,1.05
5250806,1.33
5290985,2.238
5331179,2.016
5371349,0.897
5411279,0.053
5451146,0.064
5491066,0.719
5531003,-0.11
5570928,0.68
5610869,1.801
5650880,1.855
5690984,2.212
5731058,2.051
5771078,1.479
5811088,1.656
5851042,0.99
5891032,0.219
5930984,0.734
5970933,0.507
6010862,-0.309
6050827,-0.494
6090843,0.219
6130800,0.128
6170744,0.18
6210739,0.776
6250702,1.039
6290665,1.354
6330615,1.57
6370638,1.692
6410735,1.824
6450812,1.553
6490802,1.767
6530833,1.394
6570985,1.783
6611013,1.35
6651182,1.752
6691401,1.839
6731545,1.278
6771592,0.667
6811649,0.921
6851625,0.145
6891546,0.104
6931476,-0.468
6971393,-0.113
7011403,-0.324
7051313,0.404
7091373,0.508
7131468,0.498
7171408,0.856
7211413,1.865
7251444,1.701
7291448,0.882
7331471,1.344
7371483,1.239
7411483,1.945
7451526,1.834
7491550,1.165
7531510,1.377
7571499,1.273
7611452,0.55
7651431,0.241
7691432,-0.401
7731396,-0.368
7771322,0.475
7811260,-0.476
7851153,0.366
7891146,0.483
7931125,0.794
7971165,1.543
