
########## Evaluation Against Last Agent - Episode 0 ##########
Timestep: 79 Average reward against last agent is 1.821

########## Evaluation Against Last Agent - Episode 100 ##########
Timestep: 8071 Average reward against last agent is 2.403

########## Evaluation Against Last Agent - Episode 200 ##########
Timestep: 16074 Average reward against last agent is 2.522

########## Evaluation Against Last Agent - Episode 300 ##########
Timestep: 24066 Average reward against last agent is 2.431

########## Evaluation Against Last Agent - Episode 400 ##########
Timestep: 32059 Average reward against last agent is 2.414

########## Evaluation Against Last Agent - Episode 500 ##########
Timestep: 40050 Average reward against last agent is 2.517

########## Evaluation Against Last Agent - Episode 600 ##########
Timestep: 48064 Average reward against last agent is 2.585

########## Evaluation Against Last Agent - Episode 700 ##########
Timestep: 56055 Average reward against last agent is 2.402

########## Evaluation Against Last Agent - Episode 800 ##########
Timestep: 64065 Average reward against last agent is 2.553

########## Evaluation Against Last Agent - Episode 900 ##########
Timestep: 72072 Average reward against last agent is 2.465

########## Evaluation Against Last Agent - Episode 1000 ##########
Timestep: 80062 Average reward against last agent is 2.523

########## Evaluation Against Last Agent - Episode 1100 ##########
Timestep: 88060 Average reward against last agent is 2.438

########## Evaluation Against Last Agent - Episode 1200 ##########
Timestep: 96082 Average reward against last agent is 2.448

########## Evaluation Against Last Agent - Episode 1300 ##########
Timestep: 104064 Average reward against last agent is 2.387

########## Evaluation Against Last Agent - Episode 1400 ##########
Timestep: 112076 Average reward against last agent is 2.31

########## Evaluation Against Last Agent - Episode 1500 ##########
Timestep: 120052 Average reward against last agent is 2.348

########## Evaluation Against Last Agent - Episode 1600 ##########
Timestep: 128060 Average reward against last agent is 2.52

########## Evaluation Against Last Agent - Episode 1700 ##########
Timestep: 136033 Average reward against last agent is 2.541

########## Evaluation Against Last Agent - Episode 1800 ##########
Timestep: 144035 Average reward against last agent is 2.577

########## Evaluation Against Last Agent - Episode 1900 ##########
Timestep: 152021 Average reward against last agent is 2.493
