timestep,reward
80154,-1.351
160363,-2.843
240530,2.374
320642,-1.635
400761,-0.844
480847,2.435
560869,-2.035
640858,0.879
720940,1.063
800998,2.188
881139,2.335
961189,1.472
1041396,2.118
1121594,1.785
1201786,0.601
1281920,-1.373
1362226,2.558
1442494,2.695
1522692,2.51
1602883,-7.618
1683118,0.43
1763316,1.934
1843386,2.422
1923501,-5.731
2003556,2.325
2083667,1.298
2163919,-7.529
2243978,-4.704
2324052,0.271
2404083,-4.097
2484176,2.693
2564457,1.586
2644630,0.073
2724688,2.756
2804672,2.368
2884590,0.915
2964765,2.459
3044982,-2.423
3125055,1.585
3205213,1.633
3285319,2.71
3365398,1.139
3445517,-2.149
3525728,1.344
3605850,1.244
3686011,-5.054
3766160,1.634
3846224,-1.83
3926361,1.128
4006444,0.735
4086535,2.569
4166663,2.503
4246816,0.429
4326916,3.481
4407198,2.393
4487306,2.404
4567477,2.414
4647607,1.711
4727833,0.837
4808017,-7.863
4888080,-4.032
4968183,-3.145
5048308,2.584
5128395,2.691
5208613,-2.758
5288860,-5.018
5369080,2.531
5449316,-8.177
5529461,-7.79
5609703,-7.109
5690028,2.47
5770151,-5.634
5850301,2.551
5930442,2.321
6010552,2.57
6090742,2.441
6170898,-9.316
6250946,-7.186
6331086,-3.21
6411250,-7.032
6491359,-9.344
6571514,-5.993
6651773,-10.08
6731981,-9.47
6812209,-3.3
6892549,-4.667
6972805,0.512
7052931,2.197
7133230,2.326
7213285,-1.045
7293318,1.161
7373372,2.768
7453555,0.431
7533665,1.513
7613663,2.36
7693749,1.346
7773664,0.479
7853687,2.653
7933692,2.357
